队伍,初评平均分,初评排名,终评分,终评排名,评分差异,评分提升率,排名变化
codewin,3.000,65,3.733,3,0.733,24.4,62
回来吧堡垒之夜,3.000,66,3.708,5,0.708,23.6,61
bug改不队,3.000,67,3.450,12,0.450,15.0,55
七牛牛牛,3.000,68,3.342,15,0.342,11.4,53
千早爱音,3.625,12,3.725,4,0.100,2.8,8
好运降临队,3.250,39,3.342,16,0.092,2.8,23
sleeptight,3.250,40,3.333,17,0.083,2.6,23
AIPM,3.750,6,3.808,2,0.058,1.6,4
Madie,3.000,69,3.042,30,0.042,1.4,39
大黄鸭,3.500,15,3.542,9,0.042,1.2,6
羊驼不驼峰,3.125,56,3.142,26,0.017,0.5,30
厦门密码,3.375,24,3.383,13,0.008,0.2,11
不知道叫什么队,3.875,3,3.875,1,0.000,0.0,2
go~go~go~出发喽~,3.500,16,3.485,10,-0.015,-0.4,6
喵喵队,3.250,41,3.233,21,-0.017,-0.5,20
月明星稀,3.375,25,3.350,14,-0.025,-0.7,11
请展示你的prompt,3.625,13,3.592,7,-0.033,-0.9,6
6235G,3.000,70,2.958,35,-0.042,-1.4,35
AIGC开发,3.250,42,3.200,22,-0.050,-1.5,20
秋招是个啥,3.375,26,3.275,18,-0.100,-3.0,8
今晚不熬夜队,3.000,71,2.900,41,-0.100,-3.3,30
InferBolt,3.250,43,3.148,25,-0.102,-3.1,18
Max,3.375,27,3.267,19,-0.108,-3.2,8
SXZDEBUG战队,3.250,44,3.125,27,-0.125,-3.8,17
Jchat,3.000,72,2.867,42,-0.133,-4.4,30
0x3,3.750,7,3.592,8,-0.158,-4.2,-1
7788,3.000,73,2.733,50,-0.267,-8.9,23
MetaBubble,3.375,28,3.083,28,-0.292,-8.6,0
只要能跑就队,3.125,57,2.833,43,-0.292,-9.3,14
码上行动,3.000,74,2.700,52,-0.300,-10.0,22
起个好名字,3.250,45,2.933,37,-0.317,-9.7,8
那不勒斯,3.000,75,2.675,54,-0.325,-10.8,21
烫烫烫烫,3.500,17,3.167,24,-0.333,-9.5,-7
云端猎手,3.250,46,2.908,40,-0.342,-10.5,6
IWMM,3.125,58,2.767,49,-0.358,-11.5,9
编程改变世界,3.375,29,3.017,33,-0.358,-10.6,-4
牛牛队（重名1）,3.000,76,2.633,56,-0.367,-12.2,20
卷到飞起队,3.000,77,2.608,57,-0.392,-13.1,20
随便,3.125,59,2.722,51,-0.403,-12.9,8
万里,3.350,38,2.925,38,-0.425,-12.7,0
644123,3.375,30,2.942,36,-0.433,-12.8,-6
喵喵特工队,3.250,47,2.800,47,-0.450,-13.8,0
要拿offer队,3.250,48,2.792,48,-0.458,-14.1,0
骁邦圆舞,3.500,18,3.037,31,-0.463,-13.2,-13
小飞悟,3.500,19,3.025,32,-0.475,-13.6,-13
Ray,3.750,8,3.260,20,-0.490,-13.1,-12
拾光队,3.500,20,2.985,34,-0.515,-14.7,-14
gogogo,4.000,2,3.475,11,-0.525,-13.1,-9
锁金村最速软件开发传说,3.000,78,2.475,60,-0.525,-17.5,18
一个人投递也需要队伍名,4.250,1,3.682,6,-0.568,-13.4,-5
NagiicivA,3.750,9,3.175,23,-0.575,-15.3,-14
多喝热水,3.250,49,2.642,55,-0.608,-18.7,-6
心之所向，素履以往,3.125,60,2.467,61,-0.658,-21.1,-1
队队队,3.125,61,2.467,62,-0.658,-21.1,-1
下一队,3.375,31,2.700,53,-0.675,-20.0,-22
WFTGF2025,3.500,21,2.815,45,-0.685,-19.6,-24
有请下一队,3.500,22,2.808,46,-0.692,-19.8,-24
zATTER,3.250,50,2.550,58,-0.700,-21.5,-8
NADS,3.000,79,2.267,66,-0.733,-24.4,13
Team Wang,3.250,51,2.483,59,-0.767,-23.6,-8
冲鸭,3.000,80,2.217,69,-0.783,-26.1,11
Dog是不是只狗,3.875,4,3.067,29,-0.808,-20.9,-25
Helix,3.125,62,2.317,64,-0.808,-25.9,-2
chercher,3.625,14,2.817,44,-0.808,-22.3,-30
疾风,3.000,81,2.167,70,-0.833,-27.8,11
重生之我是云上造梦者,3.750,10,2.917,39,-0.833,-22.2,-29
小敏的战术小队,3.125,63,2.267,67,-0.858,-27.5,-4
鼠鼠也要学AI,3.375,32,2.383,63,-0.992,-29.4,-31
橘子,3.000,82,1.967,74,-1.033,-34.4,8
锐不可当,3.000,83,1.950,76,-1.050,-35.0,7
小k同学,3.375,33,2.317,65,-1.058,-31.4,-32
忧郁的树莓派,3.250,52,2.167,71,-1.083,-33.3,-19
你的队,3.000,84,1.883,77,-1.117,-37.2,7
奇牛幻角,3.000,85,1.883,78,-1.117,-37.2,7
秋招嘎嘎猛,3.250,53,2.100,72,-1.150,-35.4,-19
再坚持一下队,3.250,54,2.075,73,-1.175,-36.2,-19
银色漩涡,3.250,55,1.967,75,-1.283,-39.5,-20
试下~,3.000,86,1.667,82,-1.333,-44.4,4
小李想拿offer队,3.125,64,1.733,81,-1.392,-44.5,-17
Hello World,3.375,34,1.800,80,-1.575,-46.7,-46
stefanie,3.875,5,2.250,68,-1.625,-41.9,-63
对对队（重名1）,3.500,23,1.833,79,-1.667,-47.6,-56
一人我饮酒醉,3.375,35,1.417,84,-1.958,-58.0,-49
探险队,3.375,36,1.367,85,-2.008,-59.5,-49
阿尔萨斯,3.750,11,1.533,83,-2.217,-59.1,-72
知来者之可追队,3.375,37,1.017,86,-2.358,-69.9,-49
